规格名称,仓库类型,合计数量,到仓位数量
RFTS90MXS-D2,常规仓,4.0,4.0
RFTSA28MXS-S,常规仓,2.0,2.0
RFTSA56MXS-S,常规仓,1.0,1.0
RFTSAD18MXS-D2,常规仓,1.0,1.0
RFTSAD25DXA,常规仓,4.0,4.0
RFTSAD25MXS-D2,常规仓,3.0,3.0
RFTSAD32MXS-D2,常规仓,3.0,3.0
RFTSAD35DXA,常规仓,1.0,1.0
RFTSAD36MXS-D1,常规仓,3.0,3.0
RFTSAD36MXS-D2,常规仓,8.0,8.0
RFTSAD40MXS-D2,常规仓,1.0,1.0
RFTSAD50MXS-D2,常规仓,1.0,1.0
RFTSAD56MXS-D2,常规仓,2.0,2.0
RFTSAD60DXA,常规仓,5.0,5.0
RFTSAD60MXA,常规仓,2.0,2.0
RFTSD28MXS-D2,常规仓,18.0,18.0
RFTSD36MXS-D2,常规仓,9.0,9.0
RFTSD45MXS-D2,常规仓,23.0,23.0
RFTSD56MXS-D2,常规仓,34.0,34.0
RFTSD71MXS-D2,常规仓,1.0,1.0
RFUM112MXF,常规仓,1.0,1.0
RFUMD130MXA,常规仓,1.0,1.0
RFUMD130MXA(G),常规仓,7.0,7.0
RHSH-V3SU1,常规仓,2.0,2.0
RHSST-SXS01(V30系列)上下水模组,常规仓,1.0,1.0
RHSST-SXS02(V3S系列)上下水模组,常规仓,7.0,7.0
RHSW-H13proU1,常规仓,2.0,2.0
RHSW-V30U1,常规仓,1.0,1.0
RHXB-X11StationU1,常规仓,3.0,3.0
RHXC-L2,常规仓,6.0,6.0
RHXHDEDF-S350U1,常规仓,3.0,3.0
RHXW-A3Plus,常规仓,4.0,4.0
RHXWF-G700,常规仓,4.0,4.0
RSX-200(75)/K5(N),常规仓,1.0,1.0
SC/SD-332C商流,常规仓,7.0,7.0
SC/SD-568CX,常规仓,17.0,17.0
SKFR-72L/WAC21AU1室内机,常规仓,1.0,1.0
SKFR-72W/1021室外机,常规仓,1.0,1.0
SPB-340C/D2,常规仓,1.0,1.0
TAB ST-SXSH1101,常规仓,7.0,7.0
TDZE7-F,常规仓,4.0,4.0
TG-V70,常规仓,1.0,1.0
TG100F98SU1,常规仓,4.0,4.0
TPB-05Q/YH,常规仓,71.0,71.0
TQG120-HBD1496U1,常规仓,1.0,1.0
TXW10-ZL02WEC,常规仓,1.0,1.0
TYR-E60AC,常规仓,4.0,4.0
TYR-E60AC(D),常规仓,30.0,30.0
TYR-H10,常规仓,10.0,10.0
TZDM10-1L,常规仓,55.0,55.0
UCS-30H3U5,常规仓,2.0,2.0
UEC-H2DR-U5白,常规仓,1.0,1.0
UQE-21LQ70-U1白色,常规仓,9.0,9.0
UQL-21CD71-U白色,常规仓,9.0,9.0
VC-A8U1,常规仓,1.0,1.0
WA-DJ2.50A2(白色),常规仓,342.0,342.0
WA-DJ2.50A2(黑色),常规仓,22.0,22.0
WA-MD05A1,常规仓,6.0,6.0
WA-MD05A2,常规仓,7.0,7.0
WM01,常规仓,20.0,20.0
XBB08-Z01FEC(粉色),常规仓,2.0,2.0
XG-100QH/AA,常规仓,1.0,1.0
XNO28-PEW,常规仓,11.0,11.0
XP1-J128,常规仓,13.0,13.0
XPB90-197BS,常规仓,4.0,4.0
XQ1-J158,常规仓,1.0,1.0
XQB80-M308,金融仓,30.0,30.0
XQB90-BM12699,常规仓,4.0,4.0
XQG100-BD14326L,常规仓,1.0,1.0
XQG100-BD14386TLU1,常规仓,1.0,1.0
XQG100-BD14576LU1,常规仓,12.0,2.0
XQG100-BD14576LU1,金融仓,12.0,10.0
XQG100-BD286U1,常规仓,1.0,1.0
XQG100-BLEU78A7U1,金融仓,35.0,35.0
XQG100-BLEU78A7WU1,金融仓,5.0,5.0
XQG100-BSEG78A9WU1,金融仓,45.0,45.0
XQG100-BSNEG87AU1,常规仓,3.0,3.0
XQG100-HB06,常规仓,1.0,1.0
XQG100-HBD1496VTLU1,常规仓,1.0,1.0
XQG100-LEU58A2U1,常规仓,1.0,1.0
XQG120-BD14576LU1,常规仓,1.0,1.0
XQG60-817G,常规仓,1.0,1.0
XQG90-BD14126L,常规仓,1.0,1.0
XQGM35-B80CU1,常规仓,5.0,5.0
YR-E16B Casarte,常规仓,1.0,1.0
YR-E17P(卡萨帝墨玉黑),常规仓,1.0,1.0
YR-E17P(卡萨帝新风机W),常规仓,3.0,3.0
YR-E17P(卡萨帝珍珠白),常规仓,2.0,2.0
YR-E17自清洁线控器,常规仓,16.0,16.0
YR-E20,常规仓,31.0,31.0
YR-H005T总成,常规仓,21.0,21.0
YR-H005遥控器(1+N),常规仓,120.0,120.0
YR-H009遥控器,常规仓,1.0,1.0
YR-HM(GEA),常规仓,1.0,1.0
YR-Q04遥控器,常规仓,14.0,14.0
YR1509-R(HM),常规仓,1.0,1.0
Z10-WU1,常规仓,2.0,2.0
ZPB-TS41,常规仓,1.0,1.0
ZPB-TS44,常规仓,1.0,1.0
ZPB-TS51,常规仓,1.0,1.0
ZPB-TS54,常规仓,1.0,1.0
ZPB-TS56,常规仓,1.0,1.0
ZPB-TS57,常规仓,3.0,3.0
ZPB-TS66-1,常规仓,1.0,1.0
ZQD100F-E13,常规仓,1.0,1.0
ZQD115F-C5EGU1,常规仓,1.0,1.0
二代套装(智能循环泵+零冷水回水器LX-0660U1智家版),常规仓,1.0,1.0
其他运费,常规仓,434.0,434.0
冰冷压缩机十年卡,常规仓,99.0,99.0
冷凝式燃气采暖热水炉给排气烟管,常规仓,3.0,3.0
制冷运费,常规仓,29.0,29.0
剃须刀HD11极夜灰,常规仓,10.0,10.0
加湿器SCK-6408A,常规仓,1.0,1.0
加长型面板ASCA-Q,常规仓,24.0,24.0
卡萨帝光年白门体,常规仓,3.0,3.0
卡萨帝智能音响,常规仓,6.0,6.0
厨房空调KCS-28QKA8U1,常规仓,5.0,5.0
厨改费,常规仓,4595.0,4595.0
发票税金,常规仓,17748.0,17748.0
商用小多联安装费,常规仓,9937.0,9937.0
商用运费,常规仓,1.0,1.0
地暖安装费,常规仓,49912.0,49912.0
塑料花洒,常规仓,16.0,16.0
声光报警器UCH-30B1U5,常规仓,1.0,1.0
安装卡,常规仓,17854.0,17854.0
安装卡(130元),常规仓,80.0,80.0
安装卡(150元),常规仓,89874.0,89874.0
安装卡(160元),常规仓,4973.0,4973.0
安装卡(170元),常规仓,20000.0,20000.0
安装卡(180元),常规仓,49999.0,49999.0
安装卡(190元),常规仓,494.0,494.0
安装卡(270元),常规仓,99.0,99.0
安装卡(300元),常规仓,4995.0,4995.0
安装卡(310元),常规仓,99951.0,99951.0
安装卡(340元),常规仓,953.0,953.0
安装卡(380元),常规仓,200.0,200.0
安装卡(400元),常规仓,1999962.0,1999962.0
安装费,常规仓,8173.0,8173.0
宜可诚甜橙香型婴幼儿柔顺剂,常规仓,10.0,10.0
差额,常规仓,9987.0,9987.0
快热式热水器LDSC-55C1,常规仓,1.0,1.0
拉丝玻璃门体,常规仓,37.0,37.0
昱美YM30-12Z4A,常规仓,40.0,40.0
智慧大脑DNY-ZK-01U1,常规仓,1.0,1.0
智控精灵零冷水K13L/RQL,常规仓,43.0,43.0
智能循环泵LX-0602,常规仓,4.0,4.0
暗把手锡兰青玻璃门体,常规仓,8.0,8.0
机械师硬壳背包B500银色V3,常规仓,10.0,10.0
机械师硬壳背包B500黑色V3,常规仓,5.0,5.0
杀菌真空吸尘器,常规仓,103.0,103.0
材料费,常规仓,39130.0,39130.0
标准型面板ASCA-Q,常规仓,73.0,73.0
水联网运费,常规仓,1629.0,1629.0
沐浴花洒套装,常规仓,10.0,10.0
洗地机E3-W,常规仓,2.0,2.0
洗护运费,常规仓,466.0,466.0
海尔加湿器SZ300-C1,常规仓,1.0,1.0
海尔控制器HYR-E18线控器,常规仓,1.0,1.0
海尔燃气热水器采暖炉标准排烟管采暖炉系列,常规仓,6.0,6.0
海尔运费,常规仓,9911.0,9911.0
漏电保护开关32A+电气绝缘胶带,常规仓,167.0,167.0
电热水壶HKT-K5M17W,常规仓,2.0,2.0
空调运费,常规仓,49.0,49.0
粉色HF71 air,常规仓,4.0,4.0
红外线人体传感器UCS-30H1U5,常规仓,1.0,1.0
纤见养护湿洗补充套装(T5，带投放瓶),常规仓,38.0,38.0
纤见洗衣机槽清洁套装,常规仓,5.0,5.0
纤见香氛宝盒,常规仓,39.0,39.0
纤醒2腔皂基速溶洗衣凝珠5袋,常规仓,48.0,48.0
纤醒单腔皂基速溶洗衣凝珠(200粒),常规仓,56.0,56.0
纤醒原装机洗洗衣液,常规仓,91.0,91.0
纤醒原装洗衣机槽清洁护理液,常规仓,36.0,36.0
纤醒皂基速洗凝珠(两袋装),常规仓,91.0,91.0
纤醒皂基速洗洗衣液(定量瓶),常规仓,47.0,47.0
纤醒皂基速洗洗衣液(箱),常规仓,55.0,55.0
统帅运费,常规仓,985.0,985.0
自然印记门体,常规仓,3.0,3.0
虚拟赠品,常规仓,648.0,648.0
运费,常规仓,179299.0,179299.0
运费理赔,常规仓,9228.0,9228.0
采暖炉标准排烟管-统帅,常规仓,131.0,131.0
零冷水回水器LX-0301,常规仓,1.0,1.0
食材净化机HJ-P25,常规仓,2.0,2.0
食材净化机HJ-T916,常规仓,4.0,4.0
黑色玻璃门体,常规仓,8.0,8.0
