规格名称,仓库类型,合计数量,到仓位数量
CE B10LWDWAU1,常规仓,176.0,8.0
CE B10LWDWAU1,金融仓,176.0,168.0
CE B12LWDUKLBU1,金融仓,130.0,130.0
CE0JP4002,云仓,1.0,1.0
CEADN1000,云仓,370.0,370.0
CEH-286AT5U1,常规仓,2.0,2.0
CEH-60ART3U1,常规仓,14.0,14.0
CEH-70LPLS3KU1,常规仓,3.0,3.0
CEH-80LPLS3KU1,常规仓,1.0,1.0
CES60HD-5LA07紫U1,常规仓,1.0,1.0
CEV-7A,常规仓,14.0,14.0
CG S10BYTFBHKU1,金融仓,23.0,23.0
CG S10TGWAU1,常规仓,171.0,11.0
CG S10TGWAU1,金融仓,171.0,160.0
CG S10YTFBHAU1,金融仓,300.0,300.0
CG S12YTFKLBU1,常规仓,128.0,1.0
CG S12YTFKLBU1,金融仓,128.0,127.0
CG S13YTFTLCU1,金融仓,3.0,3.0
CGD-21BU1,常规仓,1.0,1.0
CGR-22BU1,金融仓,3.0,3.0
CGR-GH1U1,常规仓,4.0,4.0
CGS 10FLJ7EU1,金融仓,100.0,100.0
CGS 10FLZ7EU1,金融仓,80.0,80.0
CGY 10FG5U1,常规仓,1.0,1.0
CGY 10FL5EU1,常规仓,2.0,2.0
CGY 10FW5EU1,常规仓,3.0,3.0
CGY 12FG5U1,常规仓,1.0,1.0
CGY 12FL3TU1,常规仓,1.0,1.0
CGY 12FL5TU1,常规仓,3.0,3.0
CGY 12FL7EU1,常规仓,2.0,2.0
CJ2Q-A1EU6(露点传感),常规仓,2.0,2.0
CJ5Q-A1EU6(多维空气卫士),常规仓,2.0,2.0
CKC1000-RMK3U1,常规仓,4.0,4.0
CKC1000-RZQ3U1,常规仓,40.0,34.0
CKC1000-RZQ3U1,金融仓,40.0,6.0
CKC800-RZF18HU1,金融仓,71.0,71.0
CKC800-RZF18HU1(礼品机),常规仓,12.0,12.0
CLD475-A1,常规仓,4.0,4.0
CMB-015N/TB(S)-白,常规仓,4.0,4.0
CMB-01A/TA-白,常规仓,5.0,5.0
CMB-01N/TB(S)-白,常规仓,2.0,2.0
CMB-01N/TB-白,常规仓,1.0,1.0
CMB-01N/TC(S)-白,常规仓,1.0,1.0
CMB-01N/TC(白),常规仓,6.0,6.0
CMB-01N/TC-白,常规仓,1.0,1.0
CMB-02N/TB-白,常规仓,1.0,1.0
CMB-N/TC装饰-银,常规仓,3.0,3.0
CP40-M3(U1),常规仓,6.0,6.0
CPCBXS-13Y-JM01,常规仓,26.0,26.0
CPPC-13Y-JM01,常规仓,46.0,46.0
CQR-15QVF-MU1,常规仓,1.0,1.0
CQR-25QVA,常规仓,1.0,1.0
CQR-45QVA,常规仓,2.0,2.0
CRO600-DCU1,常规仓,6.0,6.0
CRO600-HC7 U1,常规仓,12.0,12.0
CRO800-DA2U1,常规仓,30.0,10.0
CRO800-DA2U1,金融仓,30.0,20.0
CRO800-DEU1,常规仓,1.0,1.0
CRO800-FMCU1,常规仓,11.0,11.0
CRO800-HC7U1,常规仓,16.0,16.0
CS B14LWCHGU1,金融仓,7.0,7.0
CS B14LWCLFU1,常规仓,1.0,1.0
CS HB14LWCHGU1,金融仓,10.0,10.0
CS HB17LWAHGU1,常规仓,8.0,1.0
CS HB17LWAHGU1,金融仓,8.0,7.0
CS HB22LWTLBU1,常规仓,1.0,1.0
CS10-SPA(金)(U1),常规仓,1.0,1.0
CS15-XHU1,金融仓,1.0,1.0
CS15-YHU1,常规仓,2.0,2.0
CS200V1U1(N)室内机,常规仓,3.0,3.0
CS200V1U1(W),常规仓,4.0,4.0
CS25-YHU1,常规仓,1.0,1.0
CS260D1U1(N)室内机,常规仓,3.0,3.0
CS260D1U1(W)室外机,常规仓,3.0,3.0
CS35-YHU1,常规仓,1.0,1.0
CTS100-2LXKQ11U1,常规仓,1.0,1.0
CWB10-38GHU1,常规仓,1.0,1.0
CWC10-B29JZU1,常规仓,1.0,1.0
CWC8-B19CL,常规仓,10.0,10.0
CWP15-YHU1,常规仓,3.0,3.0
CWP20-JS(GD)(U1),常规仓,2.0,2.0
CWP25-YHU1,常规仓,1.0,1.0
CWP35-YHU1,常规仓,1.0,1.0
CWY13-19U1,常规仓,1.0,1.0
CWY15-29BKU1,常规仓,1.0,1.0
CWY15-B26BKU1,常规仓,3.0,3.0
CWY16-B29SU1,常规仓,6.0,6.0
CXW-200-E900T2S,常规仓,1.0,1.0
CXW-219-C1902,常规仓,1.0,1.0
CXW-219-CGT90BG,常规仓,6.0,6.0
CXW-219-CK16EG(TC),常规仓,2.0,2.0
CXW-219-CK16外装饰罩,常规仓,54.0,54.0
CXW-219-CT18EGU1,常规仓,1.0,1.0
CXW-219-EC901,常规仓,1.0,1.0
CXW-219-ET907U1,常规仓,1.0,1.0
CXW-219-IC196,常规仓,1.0,1.0
CXW-219-JT10X,常规仓,1.0,1.0
CXW-219-JT901A,常规仓,3.0,3.0
CXW-219-T1911,常规仓,1.0,1.0
CXW-258-C6Q100EGUD,常规仓,1.0,1.0
CXW-258-EC719UD,顺丰仓,14.0,14.0
CXW-258-EC928U1,常规仓,15.0,15.0
CXW-258-ET960,常规仓,4.0,4.0
CXW-298-PL9721Q,常规仓,1.0,1.0
CXW-358-C5K90BGUD,常规仓,2.0,2.0
CXW-358-EC723,常规仓,36.0,10.0
CXW-358-EC723,顺丰仓,36.0,26.0
CXW-358-EC725,常规仓,1.0,1.0
CY-01U1语音,常规仓,21.0,21.0
CYCR-T02A(P),常规仓,1.0,1.0
CYCR-T61AEU1,常规仓,1.0,1.0
CYCR-T62AU1(7寸智慧空气屏),常规仓,1.0,1.0
CYR-E18,常规仓,26.0,26.0
CYR-H01AC,常规仓,8.0,8.0
CYR-T01AC(P),常规仓,1.0,1.0
CYR-T03ACRDH,常规仓,6.0,6.0
CZ B10LWS10YTALCU1,常规仓,66.0,1.0
CZ B10LWS10YTALCU1,金融仓,66.0,65.0
CZ B10LWS10YTBWCU1,金融仓,20.0,20.0
CZ B12LWS12ALBU1,常规仓,6.0,1.0
CZ B12LWS12ALBU1,金融仓,6.0,5.0
CZ B12LWUS12TAHBU1,金融仓,5.0,5.0
DEM-LD300,常规仓,3.0,3.0
DW-60W451EU1,金融仓,2.0,2.0
DZT-9-2S,常规仓,8.0,8.0
EBW12227BKU1,常规仓,31.0,31.0
EC5001-PA5,常规仓,1.0,1.0
EC5YB18,常规仓,2.0,2.0
EC6.6FBP,常规仓,1.0,1.0
EC6.6FBP3,常规仓,12.0,12.0
EC6.6FP,常规仓,3.0,3.0
EC6.6FP(LP),常规仓,1.0,1.0
EC6001-PA6Pro,常规仓,923.0,23.0
EC6001-PA6Pro,金融仓,923.0,900.0
EC6001-PM1,常规仓,4.0,4.0
EC6002-PT5U1,常规仓,1444.0,29.0
EC6002-PT5U1,金融仓,1444.0,1415.0
EC8002H-PT5U1,常规仓,1.0,1.0
EC8003-PV3U1,常规仓,13.0,13.0
ECGS10FW2EU1,常规仓,1.0,1.0
EG10012HBD55S,常规仓,2.0,2.0
EG100BD176PRO,顺丰仓,58.0,58.0
EG100HMATE25W,常规仓,2.0,2.0
EGDZE7F,常规仓,1.0,1.0
EMG4418118215349,京仓,1639.0,1639.0
EMG4418124741689,京仓,2.0,2.0
EMG4418132234460,京仓,1.0,1.0
EMG4418132860233,京仓,1.0,1.0
EMG4418149976768,京仓,5.0,5.0
EMG4418153574623,京仓,1.0,1.0
EMG4418253207341,京仓,22.0,22.0
EMG4418254900096,京仓,3.0,3.0
EMG4418269589875,京仓,1.0,1.0
EMG4418277312538,京仓,7.0,7.0
EMG4418280649734,京仓,1.0,1.0
EMG4418280800251,京仓,7.0,7.0
EMG4418289615477,京仓,1.0,1.0
EMG4418289629786,京仓,3.0,3.0
EMG4418290940781,京仓,11.0,11.0
EMG4418297279256,京仓,1.0,1.0
EMG4418325686560,京仓,1.0,1.0
EMG4418346854643,京仓,3.0,3.0
EMG4418346855319,京仓,1.0,1.0
EMG4418346855863,京仓,3.0,3.0
EMG4418362888480,京仓,2.0,2.0
EMG4418365404660,京仓,1.0,1.0
EMG4418378034139,京仓,134.0,134.0
EMG4418387592544,京仓,1.0,1.0
EMG4418412924960,京仓,5.0,5.0
EMG4418420785407,京仓,2.0,2.0
EMG4418423073707,京仓,5.0,5.0
EMG4418423074655,京仓,1.0,1.0
EMG4418423075195,京仓,14.0,14.0
EMG4418423093013,京仓,1.0,1.0
EMG4418423094137,京仓,9.0,9.0
EMG4418423096029,京仓,6.0,6.0
EMG4418423096033,京仓,7.0,7.0
EMG4418423096037,京仓,7.0,7.0
EMG4418427167336,京仓,1.0,1.0
EMG4418427168988,京仓,29.0,29.0
EMG4418439528085,京仓,1.0,1.0
EMG4418485692877,京仓,1.0,1.0
EMG4418487707060,京仓,89.0,89.0
EMG4418491733492,京仓,1.0,1.0
EMG4418520062191,京仓,2698.0,2698.0
EMG4418586078523,京仓,4.0,4.0
EMG4418622922602,京仓,98.0,98.0
EMG4418666687554,京仓,26.0,26.0
EMG4418725750627,京仓,453.0,453.0
ES100H-CK3(1),常规仓,7.0,7.0
ES100H-GA3(2AU1),常规仓,1.0,1.0
ES10U,常规仓,2.0,2.0
ES11U,常规仓,8.0,8.0
ES15U,常规仓,10.0,10.0
ES200F-LC,常规仓,2.0,2.0
ES40H-CK3(1),常规仓,4.0,4.0
ES50H-GE3U1,常规仓,25.0,25.0
ES60H-GD5(A)U1,常规仓,830.0,30.0
ES60H-GD5(A)U1,金融仓,830.0,800.0
ES60H-RA3U1,常规仓,5.0,5.0
ES60V-V1,常规仓,2.0,2.0
ES7-Super2A,常规仓,8.0,8.0
EYBW152266BKU1,常规仓,201.0,56.0
EYBW152266BKU1,金融仓,201.0,145.0
EYBW152266CWU1,常规仓,10.0,10.0
EYBW153286ZBU1,常规仓,4.0,4.0
FA0910001,云仓,75.0,75.0
FA091Z000,云仓,95.0,95.0
FB28R4000,云仓,50.0,50.0
FC5142Q01,云仓,60.0,60.0
FC51JD000,云仓,1.0,1.0
FC5273000,云仓,2.0,2.0
FCD-216LLSZ,常规仓,3.0,3.0
FCD-251LHKPT1,顺丰仓,104.0,104.0
FH-1A,常规仓,1.0,1.0
FP-51WA-Y3-G30,常规仓,1.0,1.0
FQB100-F261U1,常规仓,1.0,1.0
G100298HBD14VTLSU1,常规仓,1.0,1.0
G100558HBD12S,金融仓,10.0,10.0
G100568BD12S,常规仓,11.0,1.0
G100568BD12S,金融仓,11.0,10.0
G100578BD14LS,常规仓,103.0,3.0
G100578BD14LS,金融仓,103.0,100.0
G100578HBD14LS,常规仓,2.0,2.0
G10098BD14LSU1,金融仓,65.0,65.0
GA0G81008,云仓,1.0,1.0
GA0SZA00F,云仓,1.0,1.0
GA0SZX008,云仓,2.0,2.0
GA100-BQT87AU1,常规仓,11.0,1.0
GA100-BQT87AU1,金融仓,11.0,10.0
GA100-S558H,金融仓,4.0,4.0
GA100-S58A2U1,常规仓,1.0,1.0
GA100-STF78A7U1,金融仓,5.0,5.0
GA100-STF78A7WU1,金融仓,5.0,5.0
GA100-STQ78A9U1,常规仓,16.0,1.0
GA100-STQ78A9U1,金融仓,16.0,15.0
GA100-STQ78A9WU1,常规仓,21.0,1.0
GA100-STQ78A9WU1,金融仓,21.0,20.0
GA100-STYF598WU1,金融仓,20.0,20.0
GBN100-126,常规仓,2.0,2.0
GD0R7M008,云仓,1.0,1.0
GDZE75-956,常规仓,2.0,2.0
GJ-C20AU1智能食材管夹,常规仓,2.0,2.0
GM30780U1,常规仓,1.0,1.0
H40E09A,常规仓,1.0,1.0
H9 B10B10(干）,常规仓,1.0,1.0
H9 B10B10(洗）,常规仓,1.0,1.0
H9 Y12BLD12U1（干）,常规仓,1.0,1.0
H9 Y12BLD12U1（洗）,常规仓,1.0,1.0
H9 YF10BLD86BCU1(干）,常规仓,29.0,29.0
H9 YF10BLD86BCU1(洗干套机),金融仓,20.0,20.0
H9 YF10BLD86BCU1(洗）,常规仓,27.0,27.0
HC07,常规仓,26.0,26.0
HCTO-11K-JM02,常规仓,10.0,10.0
HED-H2MTN2-U5深砂灰,常规仓,6.0,6.0
HFA-20P-RW,常规仓,3.0,3.0
HG100-206,常规仓,2.0,2.0
HG100-F176WU1,常规仓,4.0,4.0
HG100F258S,常规仓,3.0,3.0
HGR-T1,常规仓,4.0,4.0
HGS100-388U1,常规仓,20.0,20.0
HGS100-F576U1,金融仓,5.0,5.0
