品类,型号,库位,数量
166,BCD-400WLCI38FVAU1,上海,10.0
167,BCD-400WLCI38FVAU1,上海,10.0
168,BCD-472WGHTDB9SJU1,上海,10.0
169,BCD-400WLCI38FVAU1,上海,5.0
170,BCD-623WLHTD2BGWU1,上海,40.0
171,KFRd-120LW/5YTF82T,上海,100.0
172,BCD-400WLCI38FVAU1,上海,5.0
173,BCD-512WGHMD1BY6U1,上海,20.0
174,BCD-633WLCFDA4ARU1,上海,25.0
175,BCD-518WGHFD2BGCU1,上海,30.0
176,BCD-400WLCI38FVAU1,上海,5.0
177,BCD-505WGCFDA4ARU1,上海,5.0
178,BCD-505WGCFDA4ARU1,上海,5.0
179,KFR-26GW/B3KHA81U1套机,上海,35.0
180,CKC800-RZF18HU1,上海,7.0
181,BCD-507WGCTDM4GJU1,上海,5.0
182,CRO800-DA2U1,上海,10.0
183,KFR-26GW/A1MCB83U1套机,上海,71.0
184,CKC800-RZF18HU1,上海,10.0
185,CKC800-RZF18HU1,上海,10.0
186,JSQ25-13CV1GU1,上海,5.0
187,BD-331WEGAU1,上海,4.0
188,LC-251WLCDFM1U1,上海,3.0
189,JC-380WGCHSD1U1,上海,2.0
190,EC6002-PT5U1,上海,100.0
191,CKC800-RZF18HU1,上海,2.0
192,1011,统仓,1011.0
192,JZT-Q23M(12T),上海,40.0
193,C1 D10LJ7ELU1,上海,37.0
194,CKC800-RZF18HU1,上海,5.0
195,CE B10LWDWAU1,上海,30.0
196,KF110/300-AFE7U1,上海,150.0
197,KF75/200-NE7-U1,上海,130.0
198,EC6001-PA6Pro,上海,450.0
199,BCD-503WGHFD14WWU1,上海,30.0
200,BD-331WEGAU1,上海,15.0
201,LC-251WLCDFM1U1,上海,14.0
202,LC-220JE,上海,8.0
203,EC6001-PA6Pro,上海,450.0
204,EC6002-PT5U1,上海,130.0
205,BCD-550WLCFPA4W5U1,上海,27.0
206,CG S10YTFBHAU1,上海,25.0
207,CE B10LWDBHAU1,上海,173.0
208,BCD-550WLCFPA4W5U1,上海,37.0
209,CZ B10LWS10YTALCU1,上海,20.0
210,CG S10TGWAU1,上海,30.0
211,CG S12YTFKLBU1,上海,40.0
212,CG S10YTFBHAU1,上海,15.0
213,CE B12LWDUKLBU1,上海,70.0
214,K85M60,上海,2.0
215,CE B10LWDWAU1,上海,35.0
216,CE B12LWDUKLBU1,上海,15.0
217,BCD-540WGCTDM7WHU1,上海,25.0
218,K85M60,上海,10.0
219,K65M60,上海,10.0
220,K75M60,上海,10.0
221,CKC1000-RZQ3U1,上海,8.0
222,HRO1000CVH7-U1,上海,40.0
223,CGR-22BU1,上海,10.0
224,CRO800-DA2U1,上海,20.0
225,HKC600-RFB17A3U1,上海,25.0
226,BCD-623WLHTD2BGWU1,上海,12.0
227,CB B3WEUWBU1,上海,110.0
228,CE B12LWDUKLBU1,上海,15.0
229,CG S12YTFKLBU1,上海,20.0
230,KF75/200-AE7U1,上海,8.0
231,CE B12LWDUKLBU1,上海,5.0
232,CG S12YTFKLBU1,上海,20.0
233,CG S12YTFKLBU1,上海,30.0
234,CAS3520WKA(81)VU1套机,上海,14.0
235,KF71/200-AFE7U1,上海,90.0
236,ES60H-GD5(A)U1,上海,800.0
237,CGS 10FLZ7EU1,上海,30.0
238,CGS 10FLJ7EU1,上海,15.0
239,CGS 10FLJ7EU1,上海,40.0
240,CGS 10FLZ7EU1,上海,10.0
241,CGS 10FLZ7EU1,上海,15.0
242,CGS 10FLZ7EU1,上海,28.0
243,C1 D10LZ7ELU1,上海,38.0
244,C1 D10LZ7ELU1,上海,38.0
245,C1 D12L5LU1,上海,20.0
246,C9 YF12BL12L2EU1,上海,20.0
247,CG S13YTFTLCU1,上海,5.0
248,BCD-550WGCFDM4S5U1,上海,10.0
249,BCD-550WGCFDM4S5U1,上海,10.0
250,XQB80-M308,上海,10.0
251,XQB80-M308,上海,30.0
252,XQB80-M308,上海,116.0
253,HGS10078,上海,10.0
254,BCD-552WLCTDA4SCU1(Pro),上海,10.0
255,C1 HDN12L7ELLU1,上海,9.0
256,LC-251WLCDFM1U1,上海,1.0
257,BCD-610WLCTDAGSCU1(Pro),上海,10.0
258,BC/BD-142GHEPS9,上海,30.0
259,BC/BD-200GHEPS9,上海,20.0
260,BD-210WGHS9,上海,15.0
261,LC-251WLCDFM1U1,上海,16.0
262,DW-60W451EU1,上海,3.0
263,JC-450GCHSD1U1,上海,13.0
264,C3 3W1U1,上海,100.0
265,H9 YF10BLD86BCU1(洗干套机),上海,57.0
1567,1010,统仓,1010.0
